London Breed,88736,89869,92590,98738,111446
Mark Leno,60091,61042,62288,66740,109585
Jane Kim,58743,59155,60545,63229,0
Richie Greenberg,7014,0,0,0,0
Angela Alioto,17247,18894,21184,0,0
Ellen Lee Zhou,9562,10355,0,0,0
Not Transferred,2672,4750,7458,15358,23034
